defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	blastema_entity	blastema_entity_label	exact_syns	term_id	depicted_by	image_comment	def_dbxref
PLANA:0003900	head blastema	PLANA:0000418	head	PLANA:0000495	blastema		PLANA:0003900			
PLANA:0003901	tail blastema	PLANA:0000421	tail	PLANA:0000495	blastema		PLANA:0003901			
