defined_class	defined_class_name	adjacent_to	adjacent_to_label
PLANA:0000047	collecting duct	PLANA:0000053	distal tubule
PLANA:0000053	distal tubule	PLANA:0000047	collecting duct
PLANA:0000065	flame cell	PLANA:0000087	proximal tubule
PLANA:0000087	proximal tubule	PLANA:0000053	distal tubule
PLANA:0000087	proximal tubule	PLANA:0000065	flame cell
