defined_class	defined_class_name	develops_from	develops_from_label
PLANA:0000009	sigma neoblast	PLANA:0004517	blastomere
PLANA:0000014	zeta neoblast	PLANA:0004517	blastomere
PLANA:0000017	photoreceptor neuron	PLANA:0000095	trail cell
PLANA:0000018	Category 4 cell	PLANA:0000035	Category 3 cell
PLANA:0000020	protonephridia	PLANA:0000011	protonephridial progenitor cell
PLANA:0000022	Category 5 cell	PLANA:0000018	Category 4 cell
PLANA:0000023	embryonic pharynx	PLANA:0004517	blastomere
PLANA:0000026	gut	PLANA:0000039	gamma neoblast
PLANA:0000028	Category 2 cell	PLANA:0000014	zeta neoblast
PLANA:0000029	primitive ectoderm	PLANA:0004517	blastomere
PLANA:0000031	pigment cup cell	PLANA:0000095	trail cell
PLANA:0000034	epidermis	PLANA:0000033	epidermal progenitor cell
PLANA:0000035	Category 3 cell	PLANA:0000028	Category 2 cell
PLANA:0000036	eye	PLANA:0000095	trail cell
PLANA:0000039	gamma neoblast	PLANA:0004517	blastomere
PLANA:0000045	circular muscle cell	PLANA:0000130	circular muscle progenitor cell
PLANA:0000046	clonogenic neoblast	PLANA:0004517	blastomere
PLANA:0000053	distal tubule	PLANA:0000011	protonephridial progenitor cell
PLANA:0000059	embryonic gut cell	PLANA:0004517	blastomere
PLANA:0000064	flame bulb	PLANA:0000011	protonephridial progenitor cell
PLANA:0000066	gastrodermis	PLANA:0000039	gamma neoblast
PLANA:0000069	inner longitudinal muscle cell	PLANA:0000134	longitudinal muscle progenitor cell
PLANA:0000078	outer longitudinal muscle cell	PLANA:0000134	longitudinal muscle progenitor cell
PLANA:0000084	posterior primary gut branch	PLANA:0000039	gamma neoblast
PLANA:0000085	primitive gut cell	PLANA:0004517	blastomere
PLANA:0000087	proximal tubule	PLANA:0000011	protonephridial progenitor cell
PLANA:0000090	sperm	PLANA:0000238	elongate spermatid
PLANA:0000134	longitudinal muscle progenitor cell	PLANA:0004517	blastomere
PLANA:0000211	primitive ectoderm cell	PLANA:0004517	blastomere
PLANA:0000219	spermatogonial stem cell	PLANA:0000429	neoblast
PLANA:0000220	spermatogonium	PLANA:0000219	male germline stem cell
PLANA:0000221	spermatocyte	PLANA:0000220	spermatogonium
PLANA:0000223	oogonial stem cell	PLANA:0000429	neoblast
PLANA:0000237	round spermatid	PLANA:0000221	spermatocyte
PLANA:0000238	elongate spermatid	PLANA:0000237	round spermatid
PLANA:0000239	oogonial cell	PLANA:0000223	oogonial stem cell
PLANA:0000429	neoblast	PLANA:0004517	blastomere
PLANA:0000481	serotonergic neuron	PLANA:0007550	serotonergic neural progenitor cell
PLANA:0002044	germline stem cell	PLANA:0000429	neoblast
PLANA:0002080	post-meiotic germ cell	PLANA:0002082	premeiotic germ cell
PLANA:0004517	blastomere	PLANA:0000098	zygote
PLANA:0004519	embryonic pharynx neuron	PLANA:0004517	blastomere
PLANA:0004520	embryonic pharynx radial muscle cell	PLANA:0004517	blastomere
PLANA:0004521	embryonic pharynx epithelial cell	PLANA:0004517	blastomere
PLANA:0004524	embryonic pharynx circular muscle cell	PLANA:0004517	blastomere
PLANA:0007543	TrpA+ central nervous system neuron	PLANA:0007546	TrpA+ neural progenitor cell
