defined_class	defined_class_name	part_of	part_of_label
PLANA:0000535	heterochromatin	PLANA:0000529	nucleus
PLANA:0000536	euchromatin	PLANA:0000529	nucleus
PLANA:0000541	nerve	PLANA:0000103	central nervous system
PLANA:0000541	nerve	PLANA:0007565	asexual organism
PLANA:0000541	nerve	PLANA:0000080	peripheral nervous system
PLANA:0000543	neuron projection bundle	PLANA:0007565	asexual organism
PLANA:0000543	neuron projection bundle	PLANA:0000080	peripheral nervous system
PLANA:0000543	neuron projection bundle	PLANA:0000103	central nervous system
PLANA:0000545	afferent neuron	PLANA:0000080	peripheral nervous system
PLANA:0000545	afferent neuron	PLANA:0007565	asexual organism
PLANA:0000545	afferent neuron	PLANA:0000103	central nervous system
PLANA:0000546	bipolar neuron	PLANA:0000466	subepidermal nerve plexus
PLANA:0000546	bipolar neuron	PLANA:0000103	central nervous system
PLANA:0000546	bipolar neuron	PLANA:0000467	submuscular nerve plexus
PLANA:0000546	bipolar neuron	PLANA:0007548	transverse commissure
PLANA:0000547	commissural neuron	PLANA:0000103	central nervous system
PLANA:0000547	commissural neuron	PLANA:0007565	asexual organism
PLANA:0000547	commissural neuron	PLANA:0000080	peripheral nervous system
PLANA:0000548	efferent neuron	PLANA:0007565	asexual organism
PLANA:0000548	efferent neuron	PLANA:0000080	peripheral nervous system
PLANA:0000550	interneuron	PLANA:0000080	peripheral nervous system
PLANA:0000550	interneuron	PLANA:0007565	asexual organism
PLANA:0000550	interneuron	PLANA:0000103	central nervous system
PLANA:0000552	sensory neuron	PLANA:0000080	peripheral nervous system
PLANA:0000553	motor neuron	PLANA:0000080	peripheral nervous system
PLANA:0000553	motor neuron	PLANA:0007565	asexual organism
PLANA:0000556	neurosecretory neuron	PLANA:0000080	peripheral nervous system
PLANA:0000556	neurosecretory neuron	PLANA:0000103	central nervous system
PLANA:0000559	unipolar neuron	PLANA:0000080	peripheral nervous system
PLANA:0000560	multipolar neuron	PLANA:0000466	subepidermal nerve plexus
PLANA:0000560	multipolar neuron	PLANA:0000103	central nervous system
PLANA:0000562	central nervous system neuron	PLANA:0000103	central nervous system
PLANA:0000564	peripheral nervous system neuron	PLANA:0007565	asexual organism
PLANA:0000564	peripheral nervous system neuron	PLANA:0000080	peripheral nervous system
PLANA:0001005	basal lamina of epidermis	PLANA:0004529	integumental system
PLANA:0002000	adenal rhabdite	PLANA:0003501	dorsal epidermis progenitor cell
PLANA:0002000	adenal rhabdite	PLANA:0003503	ventral epidermis progenitor cell
PLANA:0002001	adherens junction	PLANA:0000508	cell-cell adhesion
PLANA:0002002	adhesive papilla	PLANA:0007541	releasing gland cell
PLANA:0002002	adhesive papilla	PLANA:0007540	viscid gland cell
PLANA:0002004	anterior gut branch	PLANA:0000026	gut
PLANA:0002007	auricle	PLANA:0000080	peripheral nervous system
