defined_class	defined_class_name	exact_syn	dbxref
PLANA:0000121	stem cell		PMID:22385657|PMID:19805089|PMID:17376870|PMID:27034770|PMID:24173799|PMID:26711341|PMID:20422023|https://doi.org/10.1101/279364|PMID:20707997|PMID:29124009|PMID:23318635|PMID:21937596|PMID:26062938|PMID:20422023|PMID:26651295|PMID:27501047|PMID:24063805|PMID:27013241|PMID:23123964
PLANA:0000023	temporary embryonic pharynx	embryonic pharynx	PMID:28072387|ISBN:9780070316607
PLANA:0000119	terminally differentiated cell		PMID:29674432
PLANA:0000093	tertiary gut branch	tertiary branch|tertiary intestinal branch	PMID:28287248|PMID:23250205|PMID:30194301|PMID:30471994|PMID:21664348|PMID:27122174|PMID:28137894
PLANA:0000208	testis	male gonad|testis lobe|testis lobule	PMID:18456843|https://doi.org/10.1101/279364|PMID:22371573|PMID:17376870|PMID:27149082|PMID:27163480|PMID:16344473|PMID:27330085|PMID:23629965|PMID:28812561|PMID:22318224|PMID:28434803|PMID:27304889|PMID:20967238|PMID:19247960|PMID:23652002|PMID:29095551|PMID:25404302|ISBN:9780070316607|PMID:20844018|PMID:25278423|PMID:28072387|PMID:22074376
PLANA:0004506	testis somatic gonadal cell	somatic gonadal cell of the testis|somatic niche cell of the testis|somatic testis cell	PMID:27163480
PLANA:0000095	trail cell	eye progenitor|eye progenitor cell|ovo+ eye progenitor	PMID:28072387|PMID:27606067|PMID:29674431|PMID:21852957|PMID:24040508|PMID:23250205|PMID:30485821|PMID:28245923|PMID:22884275
PLANA:0007543	TrpA+ central nervous system neuron	TrpA+ neuron	PMID:25254346
PLANA:0000230	tuba		PMID:22074376|PMID:27149082|PMID:25278423|PMID:27163480|PMID:28434803
PLANA:0000559	unipolar neuron	unipolar nerve cell	PMID:24173799|PMID:24173799|ISBN:9780070316607
PLANA:0000097	ventral nerve cord	VNC|nerve cord|ventral cord	PMID:23318635|PMID:25956527|PMID:18287199|PMID:24120894|PMID:27163480|PMID:28126842|PMID:20422023|PMID:28807897|PMID:17390146|PMID:21282632|PMID:25772472|PMID:28072387|PMID:26556349|ISBN:9780070316607|PMID:20215344|PMID:24950970|PMID:29291974|PMID:27013241|PMID:23250205|PMID:19247960|PMID:20967238|PMID:28245923|PMID:30143032|PMID:25558068|PMID:23954785|PMID:27612382|PMID:17905225|PMID:20707997|PMID:20223763|PMID:27150006|PMID:22479207|PMID:16033796|PMID:18202849|PMID:27034770|PMID:21828097|PMID:21806978|PMID:24131630|PMID:24173799|PMID:17553481|PMID:18063755|PMID:21566185|PMID:24173799|PMID:20599901|PMID:22125640|PMID:22074376|PMID:29674431|PMID:18063757|PMID:21179478|PMID:25254346|PMID:19174194|PMID:17251262|PMID:26457503|PMID:16890156|PMID:22339734|PMID:25356635|PMID:19211673|PMID:20422023|PMID:26017970|PMID:26062938|PMID:24063805|PMID:30471994|PMID:16033796|PMID:23297191
PLANA:0000013	visceral musculature	visceral muscle	PMID:30471994
PLANA:0000231	vitelline gland	vitellaria|vitellarium|yolk gland	PMID:28072387|PMID:22074376|ISBN:9780070316607|PMID:16344473|PMID:23652002|PMID:27163480|PMID:19247960|PMID:27149082|PMID:27501047|PMID:17390146|https://doi.org/10.1101/279364|PMID:28434803
PLANA:0000107	yolk cell	vitellocyte	PMID:28434803|PMID:27149082|PMID:28072387|PMID:22074376|ISBN:9780070316607|PMID:29674431
PLANA:0000014	zeta neoblast	zeta|zeta class|zeta class neoblast|zeta-class neoblast|zeta-neoblast	PMID:27013241|PMID:26457503|PMID:27150006|PMID:29674431|PMID:25956527|PMID:29906446|PMID:28292427|PMID:27542689|PMID:28807897|PMID:25017721|PMID:29557542|PMID:28757112|PMID:29674432|PMID:26651295|PMID:29158443
PLANA:0000098	zygote		PMID:28812561
