term,label
http://purl.obolibrary.org/obo/PLANA_0000008,
http://purl.obolibrary.org/obo/PLANA_0000040,
http://purl.obolibrary.org/obo/PLANA_0000065,
http://purl.obolibrary.org/obo/PLANA_0000119,
http://purl.obolibrary.org/obo/PLANA_0000027,
http://purl.obolibrary.org/obo/PLANA_0000021,
http://purl.obolibrary.org/obo/PLANA_0000478,
http://purl.obolibrary.org/obo/PLANA_0000037,
http://purl.obolibrary.org/obo/PLANA_0000429,
http://purl.obolibrary.org/obo/PLANA_0000114,
http://purl.obolibrary.org/obo/PLANA_0000103,
http://purl.obolibrary.org/obo/PLANA_0000025,
http://purl.obolibrary.org/obo/PLANA_0000060,
http://purl.obolibrary.org/obo/PLANA_0000423,
http://purl.obolibrary.org/obo/PLANA_0007506,
http://purl.obolibrary.org/obo/PLANA_0004504,
http://purl.obolibrary.org/obo/PLANA_0000421,
http://purl.obolibrary.org/obo/PLANA_0000102,
http://purl.obolibrary.org/obo/PLANA_0000020,
http://purl.obolibrary.org/obo/PLANA_0000431,
http://purl.obolibrary.org/obo/PLANA_0000499,
http://purl.obolibrary.org/obo/PLANA_0004503,
http://purl.obolibrary.org/obo/PLANA_0000003,
http://purl.obolibrary.org/obo/PLANA_0000214,
http://purl.obolibrary.org/obo/PLANA_0000418,
http://purl.obolibrary.org/obo/PLANA_0000420,
http://purl.obolibrary.org/obo/PLANA_0000029,
http://purl.obolibrary.org/obo/PLANA_0000063,
http://purl.obolibrary.org/obo/PLANA_0000239,
http://purl.obolibrary.org/obo/PLANA_0000120,
http://purl.obolibrary.org/obo/PLANA_0000229,
http://purl.obolibrary.org/obo/PLANA_0000419,
http://purl.obolibrary.org/obo/PLANA_0000002,
http://purl.obolibrary.org/obo/PLANA_0007507,
http://purl.obolibrary.org/obo/PLANA_0007505,
http://purl.obolibrary.org/obo/PLANA_0000427,
http://purl.obolibrary.org/obo/PLANA_0004527,
http://purl.obolibrary.org/obo/PLANA_0007536,
http://purl.obolibrary.org/obo/PLANA_0000232,
http://purl.obolibrary.org/obo/PLANA_0000007,
http://purl.obolibrary.org/obo/PLANA_0000076,
http://purl.obolibrary.org/obo/PLANA_0000087,
http://purl.obolibrary.org/obo/PLANA_0000005,
http://purl.obolibrary.org/obo/PLANA_0000212,
http://purl.obolibrary.org/obo/PLANA_0000117,
http://purl.obolibrary.org/obo/PLANA_0000116,
http://purl.obolibrary.org/obo/PLANA_0000215,
http://purl.obolibrary.org/obo/PLANA_0000006,
http://purl.obolibrary.org/obo/PLANA_0007504,
http://purl.obolibrary.org/obo/PLANA_0000228,
http://purl.obolibrary.org/obo/PLANA_0000227,
http://purl.obolibrary.org/obo/PLANA_0000208,
http://purl.obolibrary.org/obo/PLANA_0007554,
http://purl.obolibrary.org/obo/PLANA_0000080,
http://purl.obolibrary.org/obo/PLANA_0000113,
http://purl.obolibrary.org/obo/PLANA_0000112,
http://purl.obolibrary.org/obo/PLANA_0007560,
http://purl.obolibrary.org/obo/PLANA_0000026,
http://purl.obolibrary.org/obo/PLANA_0000039,
http://purl.obolibrary.org/obo/PLANA_0000203,
http://purl.obolibrary.org/obo/PLANA_0000004,
http://purl.obolibrary.org/obo/PLANA_0000058,
http://purl.obolibrary.org/obo/PLANA_0000041,
http://purl.obolibrary.org/obo/PLANA_0000088,
http://purl.obolibrary.org/obo/PLANA_0000053,
http://purl.obolibrary.org/obo/PLANA_0000045,
http://purl.obolibrary.org/obo/PLANA_0000101,
http://purl.obolibrary.org/obo/PLANA_0000107,
http://purl.obolibrary.org/obo/PLANA_0000134,
http://purl.obolibrary.org/obo/PLANA_0000019,
http://purl.obolibrary.org/obo/PLANA_0000487,
http://purl.obolibrary.org/obo/PLANA_0007538,
http://purl.obolibrary.org/obo/PLANA_0007545,
http://purl.obolibrary.org/obo/PLANA_0000485,
http://purl.obolibrary.org/obo/PLANA_0000043,
http://purl.obolibrary.org/obo/PLANA_0000106,
http://purl.obolibrary.org/obo/PLANA_0000100,
http://purl.obolibrary.org/obo/PLANA_0000428,
http://purl.obolibrary.org/obo/PLANA_0000230,
http://purl.obolibrary.org/obo/PLANA_0000433,
http://purl.obolibrary.org/obo/PLANA_0000500,
http://purl.obolibrary.org/obo/PLANA_0000049,
http://purl.obolibrary.org/obo/PLANA_0000476,
http://purl.obolibrary.org/obo/PLANA_0000241,
http://purl.obolibrary.org/obo/PLANA_0000527,
