?cls	?xref
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:29674431"
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:21295481"
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:28216315"
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:27150006"
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:28287248"
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:29547123"
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:23318641"
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:17251262"
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:27063937"
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:18287199"
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:28245923"
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:28893948"
<http://purl.obolibrary.org/obo/PLANA_0000419>	"PMID:26556349"
<http://purl.obolibrary.org/obo/PLANA_0000076>	"PMID:28072387"
<http://purl.obolibrary.org/obo/GO_0000237>	"Wikipedia:Meiosis#Leptotene"
<http://purl.obolibrary.org/obo/GO_0000237>	"Wikipedia:Leptotene"
<http://purl.obolibrary.org/obo/PLANA_0000428>	"PMID:15866156"
<http://purl.obolibrary.org/obo/PLANA_0000428>	"ISBN:9780070316607"
<http://purl.obolibrary.org/obo/PLANA_0000428>	"PMID:24950970"
<http://purl.obolibrary.org/obo/PLANA_0000428>	"PMID:27068018"
<http://purl.obolibrary.org/obo/PLANA_0000428>	"PMID:28137894"
<http://purl.obolibrary.org/obo/PLANA_0000428>	"PMID:20707997"
<http://purl.obolibrary.org/obo/PLANA_0000428>	"UBERON:0001015"
<http://purl.obolibrary.org/obo/PLANA_0000428>	"PMID:17942485"
<http://purl.obolibrary.org/obo/BSPO_0000417>	"FMA:11361"
<http://purl.obolibrary.org/obo/PLANA_0000126>	"UBERON:0000990"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"Optic:chiasm"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:30194301"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"FMA:62045"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:21282632"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"BM:Tel-OCX"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:18466009"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:25356635"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"MBA:117"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"DHBA:10644"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"MESH:D009897"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:19048075"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"http://www.snomedbrowser.com/Codes/Details/244453006"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:17553481"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:22339734"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"MA:0001098"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"BAMS:DC"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"DMBA:17783"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:19211673"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"http://braininfo.rprc.washington.edu/centraldirectory.aspx?ID=459"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"HBA:9310"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:26618653"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"TAO:0000556"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"UMLS:C0029126"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"BAMS:ox"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:16033796"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:15866156"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:27800171"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"EHDAA2:0001302"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"http://linkedlifedata.com/resource/umls/id/C0029126"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:18202849"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"BAMS:och"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"VHOG:0000190"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"EHDAA:10227"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:30962434"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"GAID:832"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"XAO:0004071"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"UBERON:0000959"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"EMAPA:17603"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"BAMS:OC"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:28495872"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"birnlex:1416"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"AAO:0010622"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:22445864"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"ZFA:0000556"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:17905225"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"C90609"
<http://purl.obolibrary.org/obo/PLANA_0000459>	"PMID:25493551"
<http://purl.obolibrary.org/obo/PLANA_0000543>	"CARO:0001001"
<http://purl.obolibrary.org/obo/PLANA_0000008>	"PMID:28072387"
<http://purl.obolibrary.org/obo/PLANA_0000079>	"PMID:30962434"
<http://purl.obolibrary.org/obo/PLANA_0000079>	"OCLC:16809160"
<http://purl.obolibrary.org/obo/PLANA_0000079>	"ISBN:9780070316607"
<http://purl.obolibrary.org/obo/PLANA_0000431>	"UBERON:0000062"
<http://purl.obolibrary.org/obo/PLANA_0000431>	"PMID:29547123"
<http://purl.obolibrary.org/obo/BSPO_0000072>	"FBql:00005849"
<http://purl.obolibrary.org/obo/PLANA_0000066>	"PMID:21282632"
<http://purl.obolibrary.org/obo/PLANA_0000066>	"ISBN:9780070316607"
<http://purl.obolibrary.org/obo/PLANA_0000066>	"PMID:21664348"
<http://purl.obolibrary.org/obo/PLANA_0000066>	"PMID:27501047"
<http://purl.obolibrary.org/obo/PLANA_0000066>	"PMID:24120894"
<http://purl.obolibrary.org/obo/PLANA_0000066>	"PMID:25558068"
<http://purl.obolibrary.org/obo/PLANA_0000066>	"PMID:28287248"
<http://purl.obolibrary.org/obo/PLANA_0000066>	"PMID:27441386"
<http://purl.obolibrary.org/obo/PLANA_0000066>	"PMID:30608231"
<http://purl.obolibrary.org/obo/PATO_0001018>	"Wikipedia:Physical_property"
<http://purl.obolibrary.org/obo/PLANA_0007550>	"PMID:24131630"
<http://purl.obolibrary.org/obo/PLANA_0007550>	"PMID:23903188"
<http://purl.obolibrary.org/obo/PLANA_0007550>	"PMID:25254346"
<http://purl.obolibrary.org/obo/BSPO_0000084>	"FBql:00005843"
<http://purl.obolibrary.org/obo/PLANA_0000084>	"PMID:21664348"
<http://purl.obolibrary.org/obo/PLANA_0000084>	"PMID:24063805"
<http://purl.obolibrary.org/obo/PLANA_0000084>	"PMID:23318641"
<http://purl.obolibrary.org/obo/GO_0051321>	"Wikipedia:Meiosis"
<http://purl.obolibrary.org/obo/PLANA_0000221>	"PMID:27163480"
<http://purl.obolibrary.org/obo/PLANA_0000221>	"PMID:27330085"
<http://purl.obolibrary.org/obo/PLANA_0000221>	"PMID:25278423"
<http://purl.obolibrary.org/obo/PLANA_0000221>	"PMID:27304889"
<http://purl.obolibrary.org/obo/PLANA_0000221>	"PMID:22074376"
<http://purl.obolibrary.org/obo/PLANA_0000221>	"PMID:17376870"
<http://purl.obolibrary.org/obo/PLANA_0000221>	"PMID:20844018"
<http://purl.obolibrary.org/obo/PLANA_0000221>	"PMID:25404302"
<http://purl.obolibrary.org/obo/PLANA_0000221>	"PMID:29095551"
<http://purl.obolibrary.org/obo/PLANA_0000221>	"CL:0000017"
<http://purl.obolibrary.org/obo/PLANA_0000528>	"GO:0005794"
<http://purl.obolibrary.org/obo/PLANA_0000232>	"ISBN:9780070316607"
<http://purl.obolibrary.org/obo/PLANA_0000232>	"PMID:27163480"
<http://purl.obolibrary.org/obo/PLANA_0000232>	"PMID:27149082"
<http://purl.obolibrary.org/obo/PLANA_0000232>	"PMID:28434803"
<http://purl.obolibrary.org/obo/PLANA_0000232>	"PMID:22074376"
<http://purl.obolibrary.org/obo/PLANA_0000232>	"PMID:17376870"
<http://purl.obolibrary.org/obo/PLANA_0000232>	"PMID:19247960"
<http://purl.obolibrary.org/obo/PLANA_0000232>	"PMID:17390146"
<http://purl.obolibrary.org/obo/PLANA_0000232>	"PMID:20967238"
<http://purl.obolibrary.org/obo/PLANA_0000232>	"PMID:16344473"
<http://purl.obolibrary.org/obo/PLANA_0000232>	"PMID:23652002"
<http://purl.obolibrary.org/obo/PLANA_0000042>	"PMID:3490491"
<http://purl.obolibrary.org/obo/PLANA_0000042>	"PMID:21664348"
<http://purl.obolibrary.org/obo/BSPO_0000010>	"http://upload.wikimedia.org/wikipedia/commons/3/34/Anatomical_Directions_and_Axes.JPG"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21282632"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:25356635"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:19048075"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:17553481"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:22339734"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:19211673"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:26618653"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:15866156"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:27800171"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:18202849"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:30962434"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:28495872"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:22445864"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:17905225"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:25493551"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"ISBN:9780070316607"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:22479207"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:27240733"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:22884275"
